title,video_id,published_at,views,likes,comments,thumbnails,duration_sec,status,description
Has The AI Bubble Become Too Big? | Global Economy Set For The Next Big Crash? | Akash Banerjee,kMap2WrT164,2025-10-31T15:57:38Z,144956,8707,709,https://i.ytimg.com/vi/kMap2WrT164/default.jpg,1476,#video,"🚨 Get exclusive NordVPN deal here ➵  https://NordVPN.com/thedeshbhakt
It’s risk free with Nord’s 30 day money-back guarantee!✌

With the world obsessed with Artificial Intelligence - are we heading straight toward another tech bubble? Since the launch of ChatGPT, investors have poured billions into AI startups, chip companies, and 'AI-powered' apps that promise to change everything. But behind the hype lies a harsh truth: according to an MIT study, nearly 95% of AI investments have produced zero returns. This is boom sustainable ??? 
Are we watching a replay of the dot-com crash just with fancier buzzwords?

In this episode of The Deshbhakt, we break down how Big Tech, investors and governments have created a cycle of overvaluation and hype around AI...what happens when the illusion finally bursts.

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#aibubble #artificialintelligence #marketcrash"
Who's The Winner? | As India Watches - Trump & Xi Meet To End US-China Tariff War | Akash Banerjee,M3YLE2ucpJs,2025-10-30T17:27:11Z,790084,24181,2040,https://i.ytimg.com/vi/M3YLE2ucpJs/default.jpg,1263,#video,"🚨 Checkout Odoo and build your business!! https://www.odoo.com/r/1JYY

After months of threats, tariffs & tantrums - Donald Trump finally met with China's Xi Jinping, in an attempt to douse the fire he lit himself. From MAGA to praising Xi as a “tremendous leader” - what happened to the aggressive trade war launched by Trump?? Did China really beat America??? 

Also - what does the scaling down of US - China tensions mean for India?? Why is India still struggling under heavy tariffs??? Why can China negotiate from a position of strength while India bends to pressure???
The answers reveal more about our economic reality than any government slogan ever will.

Also watch 
🚨China’s Victory Day Parade | Xi's Direct Challenge To America & Warning For India? https://youtu.be/exH48U082Dc?si=35kYDB5F_KCURHSN 

🚨Who Will Win? | US-China Come To Blows On Tariff | Inside Xi's Plan To Overtake USA https://youtu.be/t10ygt9k9T8?si=-1n8m4GHmVYwHq6L 

D🚨id Maria Corina Deserve The Nobel Peace Prize? | Real 2025 Winners Overlooked?
https://youtu.be/ABqWCtZzclE?si=Dgvh_7nwk1qomBXd 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#trumptariffs #uschinaconflict #tariffwar"
U thought #bulldozerjustice will stop at ‘them’? BJP’s Vineet Agarwal learnt it the hard way. #news,VhtZeHiA_0Q,2025-10-28T14:34:51Z,363807,22966,812,https://i.ytimg.com/vi/VhtZeHiA_0Q/default.jpg,127,#video,"BJP cheerleader Vineet Agarwal is learning the hard way - what Indori ji said a long time ago//// 
The fires have been lit and everyone's turn will come."
Congress Surrendering Bihar To BJP? | Rahul Gandhi Missing From Mahagathbandhan | Akash Banerjee,yUCpd7BJIdU,2025-10-27T16:48:58Z,1025126,29554,4773,https://i.ytimg.com/vi/yUCpd7BJIdU/default.jpg,1267,#video,"Rahul Gandhi was last seen in Bihar on 1st of September - for 2 months Rahul Gandhi has been missing from this key battleground state (even has he found time to be in Columbia for 15 days) His Vote Chor campaign came to a sudden end - the promised Hydrogen Bomb never detonated.

While the opposition is 'hoping' that it will get the anti-incumbency vote - it has not been able to create a narrative of its own - or corner the BJP on key issues (like jobs) .... from what was an OPEN ELECTION a few months ago - its become too close to call. 

Will the NDA manage to pull though again this time??? - despite 20 years of Nitish Kumar incumbency?? Would the Congress blame it on vote chori again???  Why the grand old party has already 'lost' the battle. 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#rahulgandhi #biharelection2025 #narendramodi"
French Colonial Loot Gets Robbed Again From The Louvre | Jewellery Lost Forever? | Akash Banerjee,Giasbnv5dLc,2025-10-23T18:01:11Z,1702085,35651,2077,https://i.ytimg.com/vi/Giasbnv5dLc/default.jpg,1088,#video,"The daring daylight heist at the Louvre Museum has dominated global headlines for four straight days. In a scene straight out of Dhoom Movie - four thieves pulled off an audacious operation, stealing jewellery worth $102 million. As French police launch a massive manhunt, the world watches in disbelief at the precision and planning behind one of the boldest robberies in recent memory.

But beyond the thrill of the heist lies a deeper debate, a poetic twist of fate. Many are calling it 'poetic justice' - find out why in this episode of The Deshbhakt.

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#louvreheist #museumheist #colonialism"
Reality Of Air Pollution In India | Why AQI Is Spiking - Two Weeks AFTER Diwali? | Akash Banerjee,18VWC6Q-zcs,2025-10-22T17:29:18Z,924948,30357,2781,https://i.ytimg.com/vi/18VWC6Q-zcs/default.jpg,1309,#video,"🚨 Register for 2-Day LIVE Training on AI for FREE: https://link.outskill.com/DBMM
👉 100% Discount for all who register
👉 Become the top 1% professional by learning AI today

Like every Diwali... the cracker debate lit up in 2025 as well... with social media and politicians divided over the issue. But are Diwali firecrackers really the main problem here - is that the reason behind India's continuing reign at the top of the list of the world’s most polluted nations???
Should our outrage shift from crackers to focusing on solutions to the year-round toxic air that we continue to breathe.On The Deshbhakt - why pollution isn’t a 2-day problem and why real change requires more than Diwali outrage.

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

Credit:
Thumbnail- Chiranjeev
Editor- Prince, Avinash, Chiranjeev
Producer- Pragya, Akshat

#diwalicelebration #indiapollution #airpollution"
More Questions Than Answers | Month After Zubeen’s Death - Assam Still On Boil | Akash & Geetika,8x0pFzl3g6M,2025-10-18T14:27:42Z,946609,36268,3916,https://i.ytimg.com/vi/8x0pFzl3g6M/default.jpg,1099,#video,"The sudden demise of legendary singer Zubeen Garg shocked the entire nation & enraged his fans - the circumstances surrounding his death appeared suspicious from the start - now A MONTH after his passing... no satisfactory results or honest answers from the investigation. The dissilusement and anger amongst his fans keep growing - resulting in violence. 

In this episode of The Deshbhakt, we unpack this tragic death and the aftermath of Zubeen Garg's passing. What really happened to Zubeen? How did this tragedy turn political? Did the authorities fail to do their duty? And what made Zubeen so iconic to the people of Assam in particular? 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#zubeengarg #zubeengargmusic #zubeen"
Great Indian EMI Trick | Has The Middle Class Been Pushed Into A Massive Debt Trap? | Akash Banerjee,OM4yY-C4oVQ,2025-10-15T16:57:02Z,1031764,30331,2403,https://i.ytimg.com/vi/OM4yY-C4oVQ/default.jpg,1222,#video,"🚨Buy a Term Plan & Get Online Discounts Up to 15%👇
https://tinyurl.com/yc5u9c7d
🚨Buy a Health Plan & Get Online Discounts Up to 25%👇
https://tinyurl.com/3n2n9b43

In the first look it might seen that India’s middle class is living it up! New homes, cars, gadgets, foreign trips and endless shopping festivals. But dig deeper & a dangerous truth emerges - most of this 'prosperity' runs on EMIs. What looks like Middle India's progress may actually be a massive debt bomb - waiting to explode. 
In this episode of The Deshbhakt, we uncover how India quietly turned from a “middle-class dream” to an “EMI-class reality.” With salaries stagnant or jobs being lost - household debt & credit card defaults are skyrocketing.
How deep does this problem go?? From families to governments - and is there a way out before the next financial crisis hits? 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#indianeconomy #debttrap #financeeducation"
Will Trump’s Middle East Deal Hold? Or Will Israel Continue The Gaza Genocide? | Akash Banerjee,GvE6DdbXuLA,2025-10-14T17:01:31Z,827451,27641,3598,https://i.ytimg.com/vi/GvE6DdbXuLA/default.jpg,1444,#video,"After two years of relentless bloodshed, bombings & global outrage - Israel & Hamas have finally agreed on a ceasefire. Hostages are home, leaders are celebrating and Trump is back in the Middle East taking credit for ‘ending the war. But beneath the celebrations, one question refuses to die down - is this truly the end of the war, or just the beginning of another chapter? Already Israel’s shooting down of Palestinians have started post ceasefire. 
Meanwhile Gaza lies in ruins, thousands are dead and the world’s silence over this atrocity still echoes louder than any ceasefire announcement. What really happened in these two years of (one sided) war? How did it expose the hypocrisy of world powers, international media and the so-called global peacekeepers? Who really won this war? It surely wasn't Israel. 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#hamasvsisrael #israelpalestine #middleeastconflict"
Modi Govt’s New Love For Taliban | ‘Strategic Depth’ Against Pak Or Desperation? | Akash Banerjee,nO2nA985zaM,2025-10-13T17:01:23Z,1149728,37931,7863,https://i.ytimg.com/vi/nO2nA985zaM/default.jpg,1284,#video,"In just a few days, India’s relationship with the Taliban has taken a dramatic turn from harsh criticism to warm handshakes. The same Modi regime that accused the Taliban for promoting terrorism and crushing women’s rights - is now rolling out the red carpet for them on Indian soil. But why is this happening now? Has “national security” become the new excuse to befriend even those we once terrorists - not long ago?
Meanwhile Afghanistan’s clash with Pakistan - has got Trump involved - also bringing to light the gro-political game that is afoot. What’s forcing India to look at the Taliban differently? Is this diplomacy or desperation? 

🇮🇳 SUBSCRIBE FOR MORE VIDEOS 🇮🇳  - https://www.youtube.com/thedeshbhakt ▶️ 

⛔️  BECOME AN ANNUAL DESHBHAKT MEMBER - https://www.patreon.com/thedeshbhakt ⛔️ 
Unlock MEMBER ONLY: 1) Chats 2) Discord Server 3) Special Episodes 
OR
Join this channel on You Tube to get access to perks:
https://www.youtube.com/channel/UCmTM_hPCeckqN3cPWtYZZcg/join

👕 DESHBHAKT MERCH - India's First Line of Socially & Politically aware tees 👕
https://kadakmerch.com/collections/thedeshbhakt

📧 BUSINESS ENQUIRIES - contact (at) thedeshbhakt (dot) in 📧 

*** SUBSCRIBE / FOLLOW US ***  
YouTube: - https://youtube.com/thedeshbhakt
Twitter :- https://twitter.com/thedeshbhakt
Instagram :- https://instagram.com/akashbanerjee.in
Facebook :- https://www.facebook.com/akashbanerjee.in

#afghanistan #indiaafghanistanrelations #talibannews"
